,Company,Pages,Sustainability Report mention,first5sus,Annual Report mention,first5annual,exclusion,Year,bs_score,sustainability_score
198,15206,285,1,1,1,0,0,2020,2,0
199,384,267,1,0,1,1,0,2021,1,0
200,364,21,1,0,1,0,1,2020,0,0
201,15174,106,1,0,1,0,0,2020,0,0
202,3977,482,0,0,0,0,0,2021,0,0
203,15196,35,1,1,0,0,0,2020,2,0
204,42,70,1,1,1,1,0,2020,2,0
205,15194,52,1,1,1,0,0,2020,2,0
206,15199,29,0,0,0,0,0,2019,0,0
207,15177,16,0,0,0,0,0,2021,0,0
208,3975,63,1,0,1,0,0,2021,0,0
209,513,34,0,0,1,0,0,2021,0,0
210,17414,19,0,0,0,0,0,2021,0,0
211,15119,97,1,1,1,0,0,2020,2,0
212,518,150,0,0,1,1,0,2021,1,0
213,15118,145,1,1,1,0,1,2020,2,0
214,15083,434,1,0,1,0,0,2018,0,0
215,15107,170,1,0,1,1,0,2020,1,0
216,36,279,1,0,1,1,1,2020,0,0
217,38,63,1,1,1,0,0,2021,2,0
218,514,90,1,1,1,1,0,2021,2,0
219,15095,32,1,0,1,0,0,2021,0,0
220,3971,124,0,0,1,0,0,2017,0,0
221,512,268,1,0,1,1,0,2018,1,0
222,15061,88,1,1,0,0,0,2019,2,0
223,15060,15,1,0,0,0,1,2020,0,0
224,511,340,1,1,1,0,0,2018,2,0
225,15042,150,1,0,1,0,0,2021,0,0
226,3969,202,1,1,1,0,0,2020,2,0
227,3968,36,0,0,0,0,0,2021,0,0
228,3967,294,1,0,1,1,0,2019,1,0
229,3966,5,0,0,0,0,0,2021,0,0
230,17752,19,1,1,0,0,0,2020,2,0
231,3956,72,1,1,0,0,0,2018,2,0
232,3958,239,0,0,1,0,0,2020,0,0
233,3961,82,0,0,1,1,0,2020,1,0
234,3962,47,1,1,1,1,0,2020,2,0
235,3947,71,1,1,0,0,0,2019,2,0
236,3946,224,1,0,1,1,0,2021,1,0
237,3945,18,0,0,0,0,0,2020,0,0
238,3943,645,1,0,1,0,0,2020,0,0
239,3937,213,1,0,1,1,0,2020,1,0
240,3939,69,1,1,1,0,0,2020,2,0
241,494,107,1,1,1,1,0,2020,2,0
242,3933,96,0,0,1,1,0,2020,1,0
243,3932,49,0,0,0,0,0,2019,0,0
244,3931,171,0,0,1,1,0,2014,1,0
245,3925,57,1,0,1,0,0,2021,0,0
246,492,189,1,1,1,0,0,2020,2,0
247,3926,258,1,0,1,1,0,2020,1,0
248,3924,74,0,0,0,0,0,2019,0,0
249,490,30,1,1,0,0,0,2020,2,0
250,3919,26,1,1,0,0,0,2020,2,0
251,3916,223,1,1,1,1,0,2000,2,0
252,3918,33,0,0,0,0,0,2019,0,0
253,3917,240,1,0,1,1,0,2020,1,0
254,3911,388,0,0,1,1,0,2020,1,0
255,3912,234,0,0,0,0,0,2021,0,0
256,14981,52,1,0,1,0,0,0,0,0
257,15006,16,1,0,0,0,1,2020,0,0
258,14988,200,1,1,1,0,0,2020,2,0
259,14961,200,1,1,1,0,0,2020,2,0
260,3909,106,0,0,1,1,0,2020,1,0
261,14960,65,0,0,0,0,0,2000,0,0
262,3905,511,1,0,1,1,0,2020,1,0
263,14959,5,0,0,0,0,0,2020,0,0
264,29,73,1,1,1,0,0,2020,2,0
265,14932,161,1,1,1,1,0,2020,2,0
266,14922,85,1,1,1,1,0,2020,2,0
267,14912,1452,0,0,1,0,0,2021,0,0
268,3901,8,0,0,0,0,1,2016,0,0
269,3897,17,0,0,0,0,0,2020,0,0
270,45,283,1,1,0,0,0,2020,2,0
271,471,43,1,1,1,1,0,2010,2,0
272,14890,467,1,0,1,0,0,2021,0,0
273,32,27,1,1,0,0,0,2020,2,0
274,3888,27,0,0,0,0,0,2022,0,0
275,3890,27,0,0,0,0,0,2022,0,0
276,3887,109,0,0,0,0,0,2021,0,0
277,14884,142,1,1,0,0,0,2020,2,0
278,14883,67,1,1,1,0,0,2020,2,0
279,3883,87,1,1,0,0,0,2020,2,0
280,14820,181,1,0,1,1,0,2020,1,0
281,17265,336,0,0,1,0,0,2017,0,0
282,3882,165,1,0,1,1,0,2020,1,0
283,33,21,1,1,0,0,0,2019,2,0
284,17257,152,0,0,0,0,0,0,0,0
285,3880,183,1,1,1,0,0,2020,2,0
286,3871,57,1,1,1,0,0,2020,2,0
287,3876,536,1,0,1,1,0,2020,1,0
288,3873,193,1,1,1,0,0,2020,2,0
289,3870,33,1,1,0,0,0,2021,2,0
290,14773,347,1,0,1,1,0,2019,1,0
291,463,115,1,1,1,0,0,2019,2,0
292,14765,244,1,0,1,1,0,2020,1,0
293,14768,19,1,0,1,1,1,2009,0,0
294,14769,231,1,1,1,0,1,2020,2,0
295,14764,53,1,1,0,0,0,2020,2,0
296,3843,79,1,1,1,0,1,2020,2,0
297,3842,79,1,1,1,0,1,2020,2,0
298,17253,14,0,0,0,0,0,2020,0,0
299,3840,132,1,1,1,1,0,2020,2,0
300,3838,536,0,0,1,1,0,2001,1,0
301,14740,6,1,1,1,1,0,2018,2,0
302,14734,55,0,0,0,0,0,2019,0,0
303,3819,138,1,1,1,1,0,2021,2,0
304,3830,134,0,0,1,0,0,2020,0,0
305,14691,73,1,1,0,0,0,2020,2,0
306,14699,87,1,1,1,0,0,2019,2,0
307,461,245,1,0,1,1,0,2020,1,0
308,3824,52,0,0,0,0,0,2020,0,0
309,3825,16,1,1,0,0,1,2020,2,0
310,3832,52,0,0,0,0,0,2020,0,0
311,17878,11,0,0,1,1,0,2020,1,0
312,3829,7,0,0,1,1,0,2020,1,0
313,3822,161,1,0,1,1,0,2020,1,0
314,14647,380,1,0,1,1,0,2019,1,0
315,14658,48,1,1,1,0,0,2020,2,0
316,3818,285,1,1,1,1,0,2020,2,0
317,23,45,1,1,0,0,0,2020,2,0
318,25,54,1,1,1,0,0,2020,2,0
319,3815,316,1,0,1,1,0,2020,1,0
320,3812,315,0,0,1,1,0,2021,1,0
321,14613,5,1,1,0,0,0,2007,2,0
322,3809,8,0,0,0,0,0,2020,0,0
323,14561,20,0,0,1,0,0,2020,0,0
324,3810,207,1,1,1,1,1,2020,2,0
325,17263,141,1,1,1,1,0,2020,2,0
326,3807,133,0,0,1,1,0,2020,1,0
327,3802,83,1,0,0,0,0,2020,0,0
328,3806,10,0,0,0,0,0,2020,0,0
329,3800,257,1,1,1,1,0,2020,2,0
330,3796,35,0,0,0,0,0,2021,0,0
331,3798,57,1,1,0,0,0,2019,2,0
332,3797,410,1,1,1,1,0,2020,2,0
333,3795,410,1,1,1,1,0,2020,2,0
334,14410,114,1,1,1,0,1,2020,2,0
335,14404,84,1,1,1,0,0,2010,2,0
336,3792,87,0,0,1,1,0,2018,1,0
337,3791,50,0,0,1,1,0,2020,1,0
338,14390,18,1,1,0,0,1,2020,2,0
339,14394,93,1,1,1,1,0,2019,2,0
340,3787,243,1,0,1,1,0,2019,1,0
341,3778,39,0,0,1,1,0,2021,1,0
342,3777,276,1,0,1,1,0,2020,1,0
343,3780,82,0,0,1,1,0,2020,1,0
344,3772,50,1,1,1,0,1,2020,2,0
345,3783,148,1,0,1,1,0,2020,1,0
346,3775,392,1,1,1,0,0,2020,2,0
347,451,23,1,1,0,0,0,2020,2,0
348,3765,30,0,0,1,1,0,2017,1,0
349,3770,36,0,0,0,0,0,2017,0,0
350,22,532,1,0,1,1,0,2020,1,0
351,17569,14,1,1,1,0,1,2020,2,0
352,17120,32,1,0,1,0,0,2020,0,0
353,447,304,1,1,1,0,0,2020,2,0
354,3759,581,1,1,1,1,0,2020,2,0
355,3762,511,1,0,1,1,0,2020,1,0
356,3757,22,1,1,0,0,1,2020,2,0
357,3754,181,0,0,0,0,0,2019,0,0
358,14226,40,1,1,1,1,0,2020,2,0
